id,title,authors,year,venue,doi_or_link,research_problem,methods,dataset_or_experiment,key_findings,limitations,relation_to_new_fyp
1,"CheXpert: A Large Chest Radiograph Dataset with Uncertainty Labels and Expert Comparison","Irvin et al.",2019,"AAAI","https://doi.org/10.1609/aaai.v33i01.3301590","构建含 uncertain labels 的大规模 CXR 数据集","rule-based labeler; U-Ignore; U-Zeros; U-Ones; U-SelfTrained; U-MultiClass; per-label comparison on 5 competition tasks","CheXpert 224316 CXR","不同 pathology 的最佳 uncertainty strategy 不同; 最终模型对不同 competition labels 采用不同策略; U-SelfTrained 使用模型预测重标 uncertain labels","主要看 5 个 clinically important/prevalent labels 和 AUROC; 未系统分析 label imbalance/uncertain-positive ratio/AUPRC/F1/Recall","核心基础文献; 本 FYP 聚焦 teacher-guided soft labels + label-level prior + imbalanced-label evaluation"
2,"Interpreting chest X-rays via CNNs that exploit hierarchical disease dependencies and uncertainty labels","Pham et al.",2021,"Neurocomputing","https://doi.org/10.1016/j.neucom.2020.03.127","利用 disease hierarchy 和 uncertainty labels 提升 CXR 多标签分类","conditional training; label smoothing regularization","CheXpert","uncertainty label smoothing 和 hierarchy 可提升 AUC","高性能 ensemble; rare-label analysis 不足","支撑 soft uncertainty handling; 本课题做 label-wise adaptive"
3,"Learn To Be Uncertain: Leveraging Uncertain Labels In Chest X-rays With Bayesian Neural Networks","Yang et al.",2019,"CVPR Workshop","https://openaccess.thecvf.com/content_CVPRW_2019/papers/Uncertainty%20and%20Robustness%20in%20Deep%20Visual%20Learning/Yang_Learn_To_Be_Uncertain_Leveraging_Uncertain_Labels_In_Chest_X-rays_CVPRW_2019_paper.pdf","report uncertainty 与 model uncertainty 如何关联","Bayesian neural networks; dropout uncertainty","CheXpert","uncertain labels 可用于学习模型不确定性","workshop; 不聚焦 long-tail rare labels","说明 uncertain labels 不应简单丢弃"
4,"Towards long-tailed, multi-label disease classification from chest X-ray: Overview of the CXR-LT challenge","Holste et al.",2024,"Medical Image Analysis","https://doi.org/10.1016/j.media.2024.103224","long-tailed multi-label CXR 如何成为独立挑战","CXR-LT benchmark and challenge overview",">350k CXR; 26 findings","CXR 同时有 long-tail multi-label 和 label co-occurrence","challenge overview","支撑 long-tailed multi-label 背景"
5,"CXR-LT 2024: A MICCAI challenge on long-tailed, multi-label, and zero-shot disease classification from chest X-ray","Holste et al.",2025,"Medical Image Analysis","https://doi.org/10.1016/j.media.2025.103739","long-tail multi-label zero-shot CXR 是否仍未解决","challenge overview; gold set; multimodal comparison","CXR-LT 2024","rare/unseen findings 仍是前沿挑战","zero-shot 超出本科范围","说明 rare-label learning 仍活跃"
6,"CXR-LT: Multi-Label Long-Tailed Classification on Chest X-Rays","Holste et al.",2023,"PhysioNet Dataset","https://doi.org/10.13026/c4tr-kr83","提供 long-tailed multi-label CXR benchmark","MIMIC-CXR-JPG derived long-tail labels","CXR-LT","提供 long-tail CXR benchmark","需要 PhysioNet access","gap 支撑; 主实验可用 CheXpert"
7,"ChestX-ray8: Hospital-scale Chest X-ray Database and Benchmarks on Weakly-Supervised Classification and Localization","Wang et al.",2017,"CVPR","https://doi.org/10.1109/CVPR.2017.369","构建 CXR 弱监督多标签基准","NLP label extraction; CNN","ChestX-ray14","推动 CXR 多标签分类研究","标签噪声和 uncertainty 处理不足","对比 CheXpert 的 uncertainty labels"
8,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports","Johnson et al.",2019,"Scientific Data","https://doi.org/10.1038/s41597-019-0322-0","发布 CXR 图像和 reports 数据库","de-identification; dataset release","MIMIC-CXR","377k CXR and reports","access/preprocessing 门槛高","说明报告不确定性是大规模 CXR 数据问题"
9,"PadChest: A large chest x-ray image dataset with multi-label annotated reports","Bustos et al.",2020,"Medical Image Analysis","https://doi.org/10.1016/j.media.2020.101797","多标签 CXR 报告数据集构建","physician labels; NLP/RNN labeler","PadChest","160k+ CXR; rich taxonomy","标签体系复杂","支撑标签质量/不确定性背景"
10,"VinDr-CXR: An open dataset of chest X-rays with radiologist's annotations","Nguyen et al.",2022,"Scientific Data","https://doi.org/10.1038/s41597-022-01498-w","radiologist-annotated CXR 数据集","multi-radiologist annotation","VinDr-CXR","18k CXR; 28 findings","数据量较小","人工标注参考; 非主实验"
11,"CheXbert: Combining Automatic Labelers and Expert Annotations for Accurate Radiology Report Labeling Using BERT","Smit et al.",2020,"EMNLP","https://aclanthology.org/2020.emnlp-main.117/","提升 radiology report labeling 质量","BERT labeler; expert fine-tuning","CheXpert reports","CheXbert 优于 rule-based labeler","主要是 report labeling","说明 uncertainty/labeler quality 会影响训练标签"
12,"VisualCheXbert: Addressing the Discrepancy Between Radiology Report Labels and Image Labels","Jain et al.",2021,"arXiv","https://arxiv.org/abs/2102.11467","report labels 与 image labels 差异","Visual labeler; expert image labels","CXR labels","image labels 与 report labels 存在 discrepancy","出版状态需进一步核验","支撑自动标签不是完美 ground truth"
13,"Effect of Radiology Report Labeler Quality on Deep Learning Models for Chest X-Ray Interpretation","Jain et al.",2021,"arXiv","https://arxiv.org/abs/2104.00793","report labeler 质量是否影响 image model","different labelers train image classifiers","large CXR datasets","更好 labeler 改善 downstream model","预印本需核验","说明 label handling 会影响模型学习"
14,"Label Co-Occurrence Learning With Graph Convolutional Networks for Multi-Label Chest X-Ray Image Classification","Chen et al.",2020,"IEEE JBHI","https://doi.org/10.1109/JBHI.2020.2967084","利用 CXR label co-occurrence","CheXGCN; label graph","ChestX-ray14","label co-occurrence 有助多标签分类","不处理 uncertainty labels","label-wise strategy 可讨论 label dependencies"
15,"Label correlation guided discriminative label feature learning for multi-label chest image classification","Chen et al.",2024,"Computer Methods and Programs in Biomedicine","https://doi.org/10.1016/j.cmpb.2024.108032","label correlation 如何改善 CXR 多标签分类","global/local label correlation; supervised contrastive learning","CheXpert","label correlation guided learning 提升分类","不聚焦 uncertainty label handling","支撑 label-wise adaptive 而非 overall-only"
16,"Label-wise reliability-aware classifier for robust chest X-ray multi-label classification","Ye et al.",2026,"Expert Systems with Applications","https://doi.org/10.1016/j.eswa.2026.131438","partial label noise 和 tail-class vulnerability","label-wise reliability; KNN smoothing; hierarchical loss","ChestX-ray14; CheXpert; PadChest","label-wise 处理改善 tail-class robustness","复杂方法不宜本科完整复现","最新 label-wise/tail-label 方向证据"
17,"Class-Balanced Loss Based on Effective Number of Samples","Cui et al.",2019,"CVPR","https://doi.org/10.1109/CVPR.2019.00949","long-tail reweighting","effective number of samples","Long-tailed CIFAR; ImageNet; iNaturalist","比 inverse-frequency 更稳定","非医学","rare-label baseline/discussion"
18,"Focal Loss for Dense Object Detection","Lin et al.",2017,"ICCV","https://doi.org/10.1109/ICCV.2017.324","类别不平衡下降低 easy negatives 影响","Focal Loss","COCO; PASCAL VOC","改善 dense detection imbalance","非 CXR","imbalance baseline"
19,"Learning Imbalanced Datasets with Label-Distribution-Aware Margin Loss","Cao et al.",2019,"NeurIPS","https://papers.nips.cc/paper/8435-learning-imbalanced-datasets-with-label-distribution-aware-margin-loss","long-tail decision boundary 调整","LDAM; DRW","CIFAR-LT; ImageNet-LT","margin loss 改善 tail classes","多分类为主","说明 rare-label 问题不能只看 overall AUROC"
20,"On Calibration of Modern Neural Networks","Guo et al.",2017,"ICML","https://proceedings.mlr.press/v70/guo17a.html","模型概率是否可靠","ECE; reliability diagram; temperature scaling","CIFAR; ImageNet","现代网络常 overconfident","非医学","optional reliability analysis"
21,"Deep learning model calibration for improving performance in class-imbalanced medical image classification tasks","Rajaraman; Ganesan; Antani",2022,"PLOS ONE","https://doi.org/10.1371/journal.pone.0262838","不平衡医学图像校准是否改善性能","calibration; threshold selection","CXR and fundus tasks","calibration 可帮助阈值与性能","不专门 uncertainty labels","secondary reliability evaluation"
22,"Understanding calibration of deep neural networks for medical image classification","Sambyal et al.",2023,"Computer Methods and Programs in Biomedicine","https://doi.org/10.1016/j.cmpb.2023.107816","医学图像模型校准受何影响","training regimes; calibration metrics","medical image datasets","性能与校准需共同评价","非 CheXpert uncertainty","optional ECE/Brier analysis"
23,"Hidden Stratification Causes Clinically Meaningful Failures in Machine Learning for Medical Imaging","Oakden-Rayner et al.",2020,"ACM CHIL","https://doi.org/10.1145/3368555.3384468","总体性能是否掩盖 subgroup failure","hidden stratification analysis","medical imaging cases","overall metrics 可掩盖子群失败","非 CXR uncertainty","支撑 common/medium/rare 分层评价"
24,"Underdiagnosis bias of artificial intelligence algorithms applied to chest radiographs in under-served patient populations","Seyyed-Kalantari et al.",2021,"Nature Medicine","https://doi.org/10.1038/s41591-021-01595-0","CXR AI 是否 subgroup underdiagnose","fairness/subgroup evaluation","MIMIC-CXR; CheXpert","平均性能掩盖 subgroup underdiagnosis","公平性而非 uncertainty labels","强化不能只看 overall AUROC"
25,"A Review of Uncertainty Estimation and its Application in Medical Imaging","Zou et al.",2023,"Meta-Radiology","https://doi.org/10.1016/j.metrad.2023.100003","医学影像不确定性估计综述","uncertainty taxonomy","medical imaging literature","uncertainty/reliability 是医学 AI 关键","宽泛综述","区分 label uncertainty 与 predictive uncertainty"
