model_name,split,label,positive_count,negative_count,auprc,auroc,brier,ece
u_zero,profile_val,Cardiomegaly,760,325,0.9414632816660534,0.8808097165991902,0.1328665619270488,0.09412272948823217
u_zero,profile_val,Edema,1024,645,0.8686845597837813,0.8430066012596898,0.1610189778789629,0.10395764013101699
u_zero,profile_val,Consolidation,444,725,0.8350956068411165,0.8972413793103449,0.1763769885184743,0.17727315501398366
u_zero,profile_val,Atelectasis,783,162,0.8648033135875576,0.5787017328098639,0.3406501890068238,0.43973569963028813
u_zero,profile_val,Pneumothorax,421,1066,0.6170257141608925,0.8030041044061089,0.15972204820357616,0.0670777045856728
u_zero,profile_val,Pleural Effusion,1525,911,0.9562514706150596,0.9448237390005578,0.10327862179182609,0.12204099872588427
u_one,profile_val,Cardiomegaly,760,325,0.9464605762151322,0.8931659919028341,0.11734508884063566,0.04078082198852219
u_one,profile_val,Edema,1024,645,0.8972824243724941,0.8697886385658914,0.13933855398807604,0.030959343779865606
u_one,profile_val,Consolidation,444,725,0.8696364615681658,0.9206461634047841,0.1312209629089712,0.12473717570572557
u_one,profile_val,Atelectasis,783,162,0.8795957918392272,0.6486999984232849,0.14091238953457316,0.09230185296169666
u_one,profile_val,Pneumothorax,421,1066,0.6026500799351695,0.7896413881003418,0.17961013996944372,0.13831222381269925
u_one,profile_val,Pleural Effusion,1525,911,0.9562196197561292,0.9409418581634307,0.09531302245911367,0.08639676243598973
u_ignore,profile_val,Cardiomegaly,760,325,0.9484021209369418,0.8910364372469635,0.1295915275835319,0.07418614711080279
u_ignore,profile_val,Edema,1024,645,0.9022665133243724,0.8740022407945736,0.13742524531807476,0.03364011806024628
u_ignore,profile_val,Consolidation,444,725,0.8815489212374691,0.9241503572538057,0.10063869182747748,0.03626414186379357
u_ignore,profile_val,Atelectasis,783,162,0.8816412713085517,0.6548964886555351,0.14037660322231657,0.07338310778141022
u_ignore,profile_val,Pneumothorax,421,1066,0.606274933040993,0.8004616899814166,0.16789721228014548,0.10063610148253502
u_ignore,profile_val,Pleural Effusion,1525,911,0.9559844207772276,0.9441903150924043,0.08101749317945409,0.024910458784140586
profile_guided,profile_val,Cardiomegaly,760,325,0.9542245808375729,0.9001255060728744,0.11705239824384972,0.04085122331770884
profile_guided,profile_val,Edema,1024,645,0.9055679348025287,0.875664668120155,0.13985773311267796,0.06196829960544785
profile_guided,profile_val,Consolidation,444,725,0.8579785401830933,0.9151071761416589,0.132658538658547,0.12910517654720283
profile_guided,profile_val,Atelectasis,783,162,0.8784504312273512,0.6505368714819545,0.13583190685015947,0.06468941733319923
profile_guided,profile_val,Pneumothorax,421,1066,0.5912408345070037,0.7714032968942882,0.16661710229356064,0.058344766367339575
profile_guided,profile_val,Pleural Effusion,1525,911,0.950674290843206,0.9401004120854402,0.09047444495101893,0.06476249797835529
u_zero,test,Cardiomegaly,739,363,0.9211051140335192,0.8738746798778783,0.13873629994997153,0.09574250792391505
u_zero,test,Edema,980,629,0.8644126308631199,0.8396385581259531,0.16201129456770796,0.101293419237145
u_zero,test,Consolidation,418,759,0.8180075904270505,0.9106984132987878,0.16019185285074708,0.15139450693697676
u_zero,test,Atelectasis,770,168,0.8561700251104285,0.5999381570810143,0.32685068386976207,0.41914675294209136
u_zero,test,Pneumothorax,432,1118,0.5653760838309547,0.7754360465116279,0.16492876574555357,0.05635858214430271
u_zero,test,Pleural Effusion,1566,913,0.9547658241985962,0.9418216229599694,0.10143309203951008,0.11276552517503534
u_one,test,Cardiomegaly,739,363,0.9534030922390386,0.9133554762783451,0.10867599585957582,0.034742236556569814
u_one,test,Edema,980,629,0.909562604724331,0.8840449693390869,0.129981578554571,0.028934837325323884
u_one,test,Consolidation,418,759,0.8496649833211734,0.9310191576677951,0.12399489586400159,0.145991911524519
u_one,test,Atelectasis,770,168,0.8907789270395381,0.6994936611008039,0.13770474863600352,0.093814584650973
u_one,test,Pneumothorax,432,1118,0.5655008143646711,0.7656094712780759,0.19741509156138942,0.16285570685901948
u_one,test,Pleural Effusion,1566,913,0.9537474815450172,0.9420503329934156,0.0955312693876043,0.09315268725709791
u_ignore,test,Cardiomegaly,739,363,0.9449408547571556,0.9039503163011589,0.12271370885481403,0.06540786159882311
u_ignore,test,Edema,980,629,0.9096647807713223,0.8879319295285681,0.1272297734298328,0.03701766448835173
u_ignore,test,Consolidation,418,759,0.8721724272131961,0.9368534523516842,0.08889605837457473,0.030857382339054284
u_ignore,test,Atelectasis,770,168,0.8909281778298369,0.6949056895485467,0.1302579301840621,0.07235794414335223
u_ignore,test,Pneumothorax,432,1118,0.5875967299325656,0.7971659047240442,0.1655937527779365,0.08917442890905562
u_ignore,test,Pleural Effusion,1566,913,0.9598761653855266,0.9486507506864797,0.07476071305117706,0.01865016556930619
profile_guided,test,Cardiomegaly,739,363,0.9483567581024257,0.909113275702032,0.11422965330142029,0.0474980819138771
profile_guided,test,Edema,980,629,0.9058683624248315,0.8864848642159566,0.1330729101951009,0.07289557896133088
profile_guided,test,Consolidation,418,759,0.8606242947046756,0.9295660999426342,0.12908302097057006,0.1540421036941679
profile_guided,test,Atelectasis,770,168,0.8977243621894325,0.7103354978354979,0.1260830054420047,0.04997940450461942
profile_guided,test,Pneumothorax,432,1118,0.5686550870334772,0.7618432385874246,0.16579892630768728,0.038698605125950226
profile_guided,test,Pleural Effusion,1566,913,0.9510111220648301,0.9437611120203558,0.08846914308937448,0.07436911164271634
